Dato;Senter;Type
10.11.2021 19.31.50;Trento Eidsvoll;Utgang
10.11.2021 19.31.50;Trento Eidsvoll;Utgang
10.11.2021 18.49.21;Trento Eidsvoll;Inngang
09.11.2021 20.14.21;Trento Eidsvoll;Utgang
09.11.2021 19.34.05;Trento Eidsvoll;Inngang
09.11.2021 19.33.41;Trento Eidsvoll;Utgang
09.11.2021 19.33.08;Trento Eidsvoll;Inngang
09.11.2021 19.33.07;Trento Eidsvoll;Inngang
07.11.2021 14.40.31;Trento Eidsvoll;Utgang
07.11.2021 14.15.53;Trento Eidsvoll;Inngang
05.11.2021 10.54.40;Trento Eidsvoll;Utgang
05.11.2021 10.14.42;Trento Eidsvoll;Inngang
03.11.2021 19.35.37;Trento Eidsvoll;Utgang
03.11.2021 18.52.10;Trento Eidsvoll;Inngang
11.09.2021 18.00.59;Trento Eidsvoll;Utgang
11.09.2021 17.25.33;Trento Eidsvoll;Inngang
06.09.2021 10.33.58;Trento Eidsvoll;Utgang
06.09.2021 10.33.40;Trento Eidsvoll;Inngang
06.09.2021 10.32.30;Trento Eidsvoll;Utgang
06.09.2021 09.37.16;Trento Eidsvoll;Inngang
02.09.2021 15.38.39;Trento Eidsvoll;Utgang
02.09.2021 14.37.41;Trento Eidsvoll;Inngang
30.08.2021 09.55.52;Trento Eidsvoll;Utgang
30.08.2021 09.04.17;Trento Eidsvoll;Inngang
27.08.2021 15.58.10;Trento Eidsvoll;Utgang
27.08.2021 14.55.50;Trento Eidsvoll;Inngang
